ID;NAME;LATITUDE;LONGITUDE
169;Oman;23,588;58,3829
170;Pakistan;33,6844;73,0479
171;Palau;7,5006;134,6242
172;Palestinian Territory, Occupied;31,9038;35,2034
173;Panama;8,9824;-79,5199
174;Papua New Guinea;-9,4438;147,1803
175;Paraguay;-25,2637;-57,5759
176;Peru;-12,0464;-77,0428
177;Philippines;14,5995;120,9842
178;Pitcairn;-25,0663;-130,1005
179;Poland;52,2297;21,0122
180;Portugal;38,7223;-9,1393
181;Puerto Rico;18,4655;-66,1057
182;Qatar;25,2854;51,531
183;Reunion;-20,8789;55,4481
184;Romania;44,4268;26,1025
185;Russian Federation;55,7558;37,6173
186;Rwanda;-1,9441;30,0619
187;Saint Bartelemey;17,8962;-62,8498
188;Saint Helena;-15,9244;-5,7181
189;Saint Kitts And Nevis;17,3026;-62,7177
190;Saint Lucia;14,0101;-60,9875
191;Saint Martin;18,0731;-63,0822
192;Saint Pierre And Miquelon;46,7811;-56,1771
193;Saint Vincent And The Grenadines;13,16;-61,2248
194;Samoa;-13,8333;-171,7667
195;San Marino;43,9367;12,4464
196;Sao Tome And Principe;0,3365;6,7273
197;Saudi Arabia;24,7136;46,6753
198;Senegal;14,7167;-17,4677
199;Serbia;44,7866;20,4489
200;Serbia And Montenegro;44,7866;20,4489
201;Seychelles;-4,6191;55,4513
202;Sierra Leone;8,4657;-13,2317
203;Singapore;1,3521;103,8198
204;Sint Maarten;18,026;-63,0471
205;Slovakia;48,1486;17,1077
206;Slovenia;46,0569;14,5058
207;Solomon Islands;-9,4456;159,9729
208;Somalia;2,0469;45,3182
209;South Africa;-25,7479;28,2293
210;South Georgia And The South Sandwich Islands;-54,2833;-36,5
211;South Sudan;4,8594;31,5713
212;Spain;40,4168;-3,7038
213;Sri Lanka;6,9271;79,8612
214;Sudan;15,5007;32,5599
215;Suriname;5,852;-55,2038
216;Svalbard And Jan Mayen;78,2232;15,6469
217;Swaziland;-26,3054;31,1367
218;Sweden;59,3293;18,0686
219;Switzerland;46,948;7,4474
220;Syrian Arab Republic;33,5138;36,2765
221;Taiwan, Province Of China;25,033;121,5654
222;Tajikistan;38,5598;68,787
223;Tanzania, United Republic Of;-6,163;35,7516
224;Thailand;13,7563;100,5018
225;Timor-Leste;-8,5569;125,5603
226;Togo;6,1256;1,2254
227;Tokelau;-9,365;-171,2175
228;Tonga;-21,1393;-175,204
229;Trinidad And Tobago;10,6549;-61,5019
230;Tunisia;36,8065;10,1815
231;Turkey;39,9334;32,8597
232;Turkmenistan;37,9601;58,3261
233;Turks And Caicos Islands;21,4612;-71,1419
234;Tuvalu;-8,5211;179,194
235;Uganda;0,3476;32,5825
236;Ukraine;50,4501;30,5234
237;United Arab Emirates;24,4539;54,3773
238;United Kingdom;51,5074;-0,1278
239;United States;38,9072;-77,0369
240;United States Minor Outlying Islands;38,9072;-77,0369
241;Uruguay;-34,9011;-56,1645
242;Uzbekistan;41,2995;69,2401
243;Vanuatu;-17,7333;168,3273
244;Venezuela;10,4806;-66,9036
245;Viet Nam;21,0278;105,8342
246;Virgin Islands, British;18,4269;-64,6208
247;Virgin Islands, U.S.;18,3419;-64,9307
248;Wallis And Futuna;-13,2825;-176,1736
249;Western Sahara;27,1253;-13,1625
250;Yemen;15,3694;44,191
251;Zambia;-15,3875;28,3228
252;Zimbabwe;-17,8252;31,0335
